Site	Loc1	Loc2	P.Value	SE	switches
BigManistiqueL	Sfo8-Low	Sfo8-Upp	0.88137	0.015456	5410
BigManistiqueL	Sfo8-Low	Bwf-1	0.962020	0.005614	6126
BigManistiqueL	Sfo8-Upp	Bwf-1	0.836630	0.024932	2743
BigManistiqueL	Sfo8-Low	Bwf-2	0.802560	0.013768	9714
BigManistiqueL	Sfo8-Upp	Bwf-2	0.767440	0.021576	4334
BigManistiqueL	Bwf-1	Bwf-2	0.112690	0.014507	5154
BigManistiqueL	Sfo8-Low	C2-157	0.183570	0.018350	5475
BigManistiqueL	Sfo8-Upp	C2-157	0.695890	0.029405	2381
BigManistiqueL	Bwf-1	C2-157	0.181970	0.026389	2778
BigManistiqueL	Bwf-2	C2-157	0.802570	0.021678	4556
BigManistiqueL	Sfo8-Low	Cocl23	0.336660	0.023795	4363
BigManistiqueL	Sfo8-Upp	Cocl23	0.286680	0.037372	1667
BigManistiqueL	Bwf-1	Cocl23	0.462310	0.033818	2157
BigManistiqueL	Bwf-2	Cocl23	0.998110	0.001173	3336
BigManistiqueL	C2-157	Cocl23	0.187440	0.027836	1839
BigManistiqueL	Sfo8-Low	Cisco-59	0.657610	0.026345	3820
BigManistiqueL	Sfo8-Upp	Cisco-59	0.994260	0.002949	1498
BigManistiqueL	Bwf-1	Cisco-59	0.006040	0.003288	1780
BigManistiqueL	Bwf-2	Cisco-59	0.099740	0.020687	2714
BigManistiqueL	C2-157	Cisco-59	0.277700	0.035965	1478
BigManistiqueL	Cocl23	Cisco-59	0.810000	0.033822	939
BigManistiqueL	Sfo8-Low	Cisco-90	0.484870	0.013835	13670
BigManistiqueL	Sfo8-Upp	Cisco-90	0.258740	0.019287	7075
BigManistiqueL	Bwf-1	Cisco-90	0.992540	0.001920	8362
BigManistiqueL	Bwf-2	Cisco-90	0.202180	0.011064	12926
BigManistiqueL	C2-157	Cisco-90	0.104350	0.012600	7492
BigManistiqueL	Cocl23	Cisco-90	0.052800	0.009384	6726
BigManistiqueL	Cisco-59	Cisco-90	0.053150	0.009247	5607
BigManistiqueL	Sfo8-Low	Cisco-12	0.446950	0.006086	14237
BigManistiqueL	Sfo8-Upp	Cisco-12	0.765720	0.008418	8406
BigManistiqueL	Bwf-1	Cisco-12	0.467870	0.010551	8595
BigManistiqueL	Bwf-2	Cisco-12	0.230780	0.005762	13831
BigManistiqueL	C2-157	Cisco-12	0.160120	0.008059	8074
BigManistiqueL	Cocl23	Cisco-12	0.582060	0.011708	7620
